"CCN","teaching_status","urban_rural","ownership_type_simple","bed_size_simple","cost_of_care_per_inpatient_day","charity_care_burden","bad_debt_burden","salary_cost_per_inpatient_day","malpractice_premiums_per_inpatient_day","med_records_library_per_inpatient_day","mean_drg_weighting","alos","occupancy_rate","private_room_percentage","semi_private_room_percentage","RN_percent","LPN_percent","naor_percent","ma_percent","nursing_hours_per_inpatient_day","special_care_day_rate","overall_hospital_rating_star_rating","nurse_communication_star_rating","doctor_communication_star_rating","staff_responsiveness_star_rating","communication_about_medicines_star_rating","discharge_information_star_rating","care_transition_star_rating","cleanliness_star_rating","quietness_star_rating","recommend_hospital_star_rating","SDI_score","at_least_high_school","under_100_FPL","renting","crowded","no_computer_internet_access","not_proficient_english_adult","unemployment","non_employment","single_parent_family","no_vehicle_households","long_commute","veteran","medicaid_caseload","disproportionate_percentage","cms_caseload","percent_of_service_area_under_public","percent_of_service_area_under_private","clabsi_rate","cauti_rate","ssi_colon_rate","ssi_hyster_rate","mrsa_rate","cdi_rate","PSI_03","PSI_04","PSI_06","PSI_08","PSI_09","PSI_10","PSI_11","PSI_12","PSI_13","PSI_14","PSI_15","PSI_90","hospital_wide_readmission_rate","heart_failure_readmission_rate","acute_myocardial_infarction_readmission_rate","copd_readmission_rate","hip_knee_replacement_readmission_rate","pneumonia_readmission_rate"
10056,"Teaching","Urban","Nonprofit","Medium",2235.13339074596,3.66359149,0.583569834,1262.134641,43.77696563,0.523264156,2.15211389456477,5.80434664493344,51.6874377725135,0,89.8306210561275,68.6903158911677,6.49303829160791,24.0240426213323,0.792603195892159,21.1614074829868,24.0262846,4,3,4,3,3,4,3,3,4,4,47.390683975752,89.31302084,15.02175062,22.42905714,23.50497205,11.9475508,1.09332128,6.040479193,43.44874804,6.422496663,6.424376039,6.573402546,7.157097233,9.08992121706058,0.2028,28.0141265960337,36.53071201,67.22825153,0.92784241,1.191114287,18.18181818,10.95890411,0.071609055,0.45918702,0.13,149.54,0.27,0.08,2.7,2.45,13.54,4.04,5.66,2.18,1.18,1.1,15,19.4,14.2,19.2,3.2,16.6
10061,"Non Teaching","Rural","Governmental","Small",2561.53833348747,0.743183896,5.771528847,2482.830585,51.53271578,86.86490683,1.93429896907217,4.74670763827919,44.8260381593715,0,86.4922383575363,66.644278774039,10.9302169386796,15.5103320124477,6.91562003268632,20.6543050032368,20.63611052,1,2,2,2,3,4,2,2,4,2,56.0454854039375,82.90483892,17.63480304,20.48886825,22.24280302,15.58680716,0.753027654,4.916642901,52.26442809,5.398949037,5.023863994,10.40136726,7.235770328,25.9438103599649,0.2745,54.6971027216857,44.281266,60.27454477,1.331557923,2.672903441,0,0,0.09527439,0.503068719,0.71,NA,0.24,0.09,2.44,NA,NA,3.24,NA,1.97,1.05,1,14.1,19.2,NA,19.6,NA,16.7
10065,"Non Teaching","Rural","Nonprofit","Small",2470.16113247116,1.811538952,2.785928562,3407.070878,31.08907138,53.93562855,1.62582905405405,4.76568573014992,37.2054794520548,0,62.7720504009164,72.3936931052445,11.384325365656,15.3869050079787,0.835076521120822,28.1829197250379,23.24068225,4,3,3,4,4,4,3,4,4,4,68.1142789261107,82.98742987,15.34618253,18.71468168,20.33317556,15.53139019,0.846722854,6.761848364,51.2353953,6.784442365,6.136877643,11.26404667,7.586349896,19.1560244308717,0.2755,46.7518045530261,44.57705911,62.36448819,1.061571125,0.323101777,0,0,0.170940171,1.025641026,0.88,NA,0.24,0.09,2.47,NA,NA,3.4,NA,NA,1.07,1.05,13.3,20.4,14,18.9,NA,16.5
10069,"Non Teaching","Rural","Governmental","Small",2524.0389580974,4.792956851,7.073037715,2117.410488,56.73554134,59.10500565,1.73823275862069,4.40179461615155,33.0684931506849,0,81.6349074841204,46.1324834116156,19.5705658689331,34.2969507194513,0,24.3044167610419,22.90804165,3,2,2,3,4,3,3,4,4,3,89.1467764060357,78.2671585,25.40386193,26.75069957,29.53199226,24.49873368,1.035291525,10.29800711,56.29047115,10.48900143,11.72676372,10.66747185,7.448605143,13.3599202392822,0.2682,38.5842472582253,53.8197325,50.54888589,0,0.703729768,0,NA,0,0,0.48,NA,0.24,0.09,NA,NA,NA,NA,NA,NA,1.09,0.97,13.9,19.5,NA,NA,NA,16.1
10078,"Non Teaching","Urban","Governmental","Large",2109.00997510115,4.500983088,2.623281879,1391.53775,11.16001163,37.34556553,1.715178125,5.49371633752244,37.2955180210134,0,94.2355353481323,59.0253883638909,14.1630993726947,20.0295255274659,6.78198673594845,17.3403361344538,12.53587908,2,2,2,2,2,3,2,1,3,2,62.8089647812167,84.31030973,17.35247296,21.82225568,23.14042917,15.79028739,0.850838469,6.854780009,48.32672608,6.472636598,6.4948602,8.246883322,9.243520767,35.7271095152603,0.3247,59.8187569462255,42.64081157,62.34163731,0.233972859,0.956022945,7.092198582,0,0.057678997,0.654408816,0.28,201.39,0.24,0.08,1.89,1.8,16.91,3.77,5.11,2.67,1.35,1.16,14.2,19.6,14.1,16.5,5.9,15.7
10079,"Non Teaching","Urban","Governmental","Small",2786.14305555556,0.956836854,4.474108698,2655.19165,11.69113183,190.7942784,1.73871233552632,4.14117647058824,56.6459111664591,0,89.0224241535981,61.1454653767735,9.88920399721437,18.4611060302224,10.5042245957897,30.0967171717172,9.35033394,4,4,4,4,4,4,4,4,5,4,56.7553922351813,85.32572955,14.29541349,20.17477556,21.94019691,13.04129886,1.246373126,4.723631063,44.16405729,4.793888981,3.823235553,9.293244869,7.521621306,23.2156862745098,0.2348,50.9542483660131,36.08396339,70.92501735,0.562429696,0.217533174,0,37.03703704,0.061425061,0.129190621,1.02,NA,0.31,0.09,2.3,1.44,8.23,4,4.34,1.92,0.98,1.07,14.1,20.7,NA,19.3,3.9,17.9
10083,"Teaching","Urban","Proprietary","Small",2479.40075494263,4.245139949,2.017774529,1577.386368,8.484636728,49.92928527,1.71086016666667,5.04944329118702,40.4280821917808,0,87.2451140557875,76.2513584074053,9.40104516190484,14.3475964306898,0,17.2641925477445,25.73219607,4,5,4,4,4,4,4,4,4,4,36.2064577917636,88.79143155,10.05777141,18.69365919,19.86859467,8.801682165,1.155991189,4.323902672,44.59885291,2.749574181,1.989064702,7.404540046,12.53700859,15.6822041894697,0.2118,47.8958294017739,40.64409163,63.15886376,0.452079566,1.349527665,0,0,0.036142836,0.180714182,0.73,157.2,0.29,0.09,2.51,1.49,12.96,4.46,4.79,1.9,0.89,1.17,14.4,19.5,14.1,17.9,4.2,16.4
10085,"Non Teaching","Rural","Governmental","Medium",1811.70749797716,1.196789907,6.594631875,1810.740644,9.051806392,97.79521769,1.62644420368364,5.37927699189941,26.7167476800707,0,95.044657624876,63.8156856745347,7.09639556509641,28.7791823445321,0.308736415836756,18.8041895172166,28.65910144,3,3,4,2,2,4,3,4,4,3,57.9559270516717,84.03281271,15.16120653,21.84773838,23.76595438,17.77094213,2.254264184,4.525091515,45.47304001,6.606601508,5.171365329,4.328733254,7.456631281,18.3170112441059,0.2035,45.9920203119333,38.23492669,65.72274586,0.177053824,0.087138376,37.03703704,0,0.016052395,0.065015279,1.25,177.94,0.25,0.09,2.44,NA,NA,5.42,NA,1.76,1.48,1.27,14.1,19.2,13.5,20.4,5.2,17.7
10086,"Non Teaching","Rural","Nonprofit","Small",2306.74395348837,4.430096738,3.528006177,2644.423646,102.9960916,114.4437465,1.32380218978102,4.73047304730473,38.3561643835616,0,82.5255102040816,88.6446671746478,10.5708926792099,0.784440146142274,0,23.8060465116279,7.286432161,4,4,4,4,4,5,3,3,4,3,59.4471235194585,83.99537701,18.26267001,19.94666269,21.58903306,19.18121417,0.682373942,6.045095484,49.3717631,4.613692102,6.044928605,11.99480985,5.948082927,8.47084708470847,0.0486,46.6446644664466,46.74262346,59.28561099,0,0,0,0,0.257003341,0.257003341,0.48,NA,0.24,0.09,2.46,NA,NA,3.56,NA,1.98,1.08,0.95,14.2,20.4,NA,18.4,NA,16.1
10087,"Teaching","Urban","Governmental","Medium",1621.08969273711,1.949954501,5.688855492,1653.69383,47.66918686,86.66627161,2.36444687022901,7.81722614840989,81.0203551125126,0,94.5679770108529,79.211638689922,4.70075878154585,14.8149728567686,1.27262967176361,13.2414256817077,18.02825344,3,3,3,3,4,3,3,2,3,4,64.9734728993404,86.6478473,19.38498519,25.65115857,27.13600241,19.30064211,0.739473491,7.231720669,49.36483649,8.186428562,7.93231234,6.415934226,8.787223192,20.4416961130742,0.3906,34.5141342756184,42.87817312,57.42546545,2.150181938,0.688310198,11.9760479,0,0.178205471,0.25245775,0.85,146.08,0.26,0.1,2.42,1.28,5.56,3.83,5.29,1.74,0.74,0.96,14.2,19.6,NA,NA,NA,16.7
